timeStamp,elapsed,label,responseCode,responseMessage,threadName,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,SampleCount,ErrorCount,IdleTime,Connect
1551113308516,15,Read accessions from file,200,OK,Get entry accessions from file 1-1,true,,0,0,1,1,null,0,1,0,0,0
1551113308562,17,Getting shared accessions,200,OK,Executing function view api calls 2-1,true,,0,0,1,1,null,0,1,0,0,0
1551113308631,156,GO-BIOLOGICAL-PROCESS,200,OK,Executing function view api calls 2-1,true,,254156,226,1,1,http://alpha-api.nextprot.org/entry/NX_Q3V6T2/GO-BIOLOGICAL-PROCESS.json,154,1,0,0,37
1551113308890,18,GO-MOLECULAR-FUNCTION,200,OK,Executing function view api calls 2-1,true,,201712,226,1,1,http://alpha-api.nextprot.org/entry/NX_Q3V6T2/GO-MOLECULAR-FUNCTION.json,16,1,0,0,1
1551113309009,17,FUNCTION-INFO,200,OK,Executing function view api calls 2-1,true,,189613,218,1,1,http://alpha-api.nextprot.org/entry/NX_Q3V6T2/FUNCTION-INFO.json,16,1,0,0,1
1551113309064,6,Getting shared accessions,200,OK,Executing function view api calls 2-2,true,,0,0,2,2,null,0,1,0,0,0
1551113309071,19,GO-BIOLOGICAL-PROCESS,200,OK,Executing function view api calls 2-2,true,,254156,226,2,2,http://alpha-api.nextprot.org/entry/NX_Q3V6T2/GO-BIOLOGICAL-PROCESS.json,15,1,0,0,1
1551113309127,15,Xrefs,200,OK,Executing function view api calls 2-1,true,,1861,222,2,2,http://alpha-api.nextprot.org/page-view/function/NX_Q3V6T2/xref.json,14,1,0,0,1
1551113309192,18,GO-MOLECULAR-FUNCTION,200,OK,Executing function view api calls 2-2,true,,201712,226,2,2,http://alpha-api.nextprot.org/entry/NX_Q3V6T2/GO-MOLECULAR-FUNCTION.json,14,1,0,0,1
1551113309245,9,Overview,200,OK,Executing function view api calls 2-1,true,,14334,213,2,2,http://alpha-api.nextprot.org/entry/NX_Q3V6T2/overview.json,9,1,0,0,1
1551113309311,19,FUNCTION-INFO,200,OK,Executing function view api calls 2-2,true,,189613,218,2,2,http://alpha-api.nextprot.org/entry/NX_Q3V6T2/FUNCTION-INFO.json,16,1,0,0,1
1551113309356,14,FUNCTION-INFO,200,OK,Executing function view api calls 2-1,true,,189613,218,2,2,http://alpha-api.nextprot.org/entry/NX_Q3V6T2/FUNCTION-INFO.json,12,1,0,0,1
1551113309431,15,Xrefs,200,OK,Executing function view api calls 2-2,true,,1861,222,2,2,http://alpha-api.nextprot.org/page-view/function/NX_Q3V6T2/xref.json,15,1,0,0,1
1551113309471,16,CATALYTIC-ACTIVITY,200,OK,Executing function view api calls 2-1,true,,161681,223,2,2,http://alpha-api.nextprot.org/entry/NX_Q3V6T2/CATALYTIC-ACTIVITY.json,14,1,0,0,1
1551113309547,7,Overview,200,OK,Executing function view api calls 2-2,true,,14334,213,2,2,http://alpha-api.nextprot.org/entry/NX_Q3V6T2/overview.json,7,1,0,0,1
1551113309582,13,Getting shared accessions,200,OK,Executing function view api calls 2-3,true,,0,0,3,3,null,0,1,0,0,0
1551113309588,16,TRANSPORT-ACTIVITY,200,OK,Executing function view api calls 2-1,true,,161681,223,3,3,http://alpha-api.nextprot.org/entry/NX_Q3V6T2/TRANSPORT-ACTIVITY.json,14,1,0,0,1
1551113309596,16,GO-BIOLOGICAL-PROCESS,200,OK,Executing function view api calls 2-3,true,,254156,226,3,3,http://alpha-api.nextprot.org/entry/NX_Q3V6T2/GO-BIOLOGICAL-PROCESS.json,11,1,0,0,1
1551113309655,20,FUNCTION-INFO,200,OK,Executing function view api calls 2-2,true,,189613,218,3,3,http://alpha-api.nextprot.org/entry/NX_Q3V6T2/FUNCTION-INFO.json,17,1,0,0,1
